resume_id,skills,experience,education,resume_text,job_description,label
0,"Python, Machine Learning, Pandas",0,B.Tech,Python Machine Learning Pandas,Data Analyst with Excel and Power BI,0
1,"NLP, Deep Learning, PyTorch",5,B.Tech,NLP Deep Learning PyTorch,AI Engineer with NLP and Deep Learning,1
2,"Java, Spring Boot, SQL",5,B.Tech,Java Spring Boot SQL,Backend Developer using Java and Spring,1
3,"Python, Machine Learning, Pandas",2,B.Tech,Python Machine Learning Pandas,AI Engineer with NLP and Deep Learning,0
4,"Python, Machine Learning, Pandas",5,B.Tech,Python Machine Learning Pandas,Frontend Developer with React,0
5,"NLP, Deep Learning, PyTorch",5,B.Tech,NLP Deep Learning PyTorch,Data Analyst with Excel and Power BI,0
6,"Java, Spring Boot, SQL",4,B.Tech,Java Spring Boot SQL,Data Scientist with Python and ML experience,0
7,"NLP, Deep Learning, PyTorch",1,B.Tech,NLP Deep Learning PyTorch,Data Scientist with Python and ML experience,0
8,"Python, Machine Learning, Pandas",0,B.Tech,Python Machine Learning Pandas,Backend Developer using Java and Spring,0
9,"NLP, Deep Learning, PyTorch",5,B.Tech,NLP Deep Learning PyTorch,Data Analyst with Excel and Power BI,0
10,"Python, Machine Learning, Pandas",1,B.Tech,Python Machine Learning Pandas,Data Scientist with Python and ML experience,1
11,"React, JavaScript, HTML, CSS",1,B.Tech,React JavaScript HTML CSS,AI Engineer with NLP and Deep Learning,0
12,"Java, Spring Boot, SQL",4,B.Tech,Java Spring Boot SQL,Backend Developer using Java and Spring,1
13,"Data Analysis, Excel, Power BI",2,B.Tech,Data Analysis Excel Power BI,Data Scientist with Python and ML experience,0
14,"Java, Spring Boot, SQL",3,B.Tech,Java Spring Boot SQL,AI Engineer with NLP and Deep Learning,0
15,"Python, Machine Learning, Pandas",5,B.Tech,Python Machine Learning Pandas,Data Analyst with Excel and Power BI,0
16,"Data Analysis, Excel, Power BI",2,B.Tech,Data Analysis Excel Power BI,Data Scientist with Python and ML experience,0
17,"Data Analysis, Excel, Power BI",1,B.Tech,Data Analysis Excel Power BI,Backend Developer using Java and Spring,0
18,"Java, Spring Boot, SQL",4,B.Tech,Java Spring Boot SQL,Data Scientist with Python and ML experience,0
19,"Python, Machine Learning, Pandas",5,B.Tech,Python Machine Learning Pandas,Frontend Developer with React,0
20,"NLP, Deep Learning, PyTorch",2,B.Tech,NLP Deep Learning PyTorch,AI Engineer with NLP and Deep Learning,1
21,"Java, Spring Boot, SQL",4,B.Tech,Java Spring Boot SQL,Data Scientist with Python and ML experience,0
22,"NLP, Deep Learning, PyTorch",3,B.Tech,NLP Deep Learning PyTorch,Data Scientist with Python and ML experience,0
23,"Data Analysis, Excel, Power BI",3,B.Tech,Data Analysis Excel Power BI,Backend Developer using Java and Spring,0
24,"Java, Spring Boot, SQL",0,B.Tech,Java Spring Boot SQL,AI Engineer with NLP and Deep Learning,0
25,"Data Analysis, Excel, Power BI",5,B.Tech,Data Analysis Excel Power BI,Data Scientist with Python and ML experience,0
26,"NLP, Deep Learning, PyTorch",1,B.Tech,NLP Deep Learning PyTorch,AI Engineer with NLP and Deep Learning,1
27,"Java, Spring Boot, SQL",4,B.Tech,Java Spring Boot SQL,Frontend Developer with React,0
28,"Java, Spring Boot, SQL",2,B.Tech,Java Spring Boot SQL,Data Scientist with Python and ML experience,0
29,"Java, Spring Boot, SQL",5,B.Tech,Java Spring Boot SQL,Backend Developer using Java and Spring,1
30,"React, JavaScript, HTML, CSS",1,B.Tech,React JavaScript HTML CSS,Data Scientist with Python and ML experience,0
31,"NLP, Deep Learning, PyTorch",2,B.Tech,NLP Deep Learning PyTorch,AI Engineer with NLP and Deep Learning,1
32,"Python, Machine Learning, Pandas",4,B.Tech,Python Machine Learning Pandas,AI Engineer with NLP and Deep Learning,0
33,"Java, Spring Boot, SQL",2,B.Tech,Java Spring Boot SQL,AI Engineer with NLP and Deep Learning,0
34,"Java, Spring Boot, SQL",5,B.Tech,Java Spring Boot SQL,Backend Developer using Java and Spring,1
35,"Java, Spring Boot, SQL",1,B.Tech,Java Spring Boot SQL,Data Analyst with Excel and Power BI,0
36,"NLP, Deep Learning, PyTorch",5,B.Tech,NLP Deep Learning PyTorch,Frontend Developer with React,0
37,"Java, Spring Boot, SQL",1,B.Tech,Java Spring Boot SQL,AI Engineer with NLP and Deep Learning,0
38,"Python, Machine Learning, Pandas",2,B.Tech,Python Machine Learning Pandas,Data Analyst with Excel and Power BI,0
39,"Java, Spring Boot, SQL",5,B.Tech,Java Spring Boot SQL,Data Analyst with Excel and Power BI,0
40,"NLP, Deep Learning, PyTorch",5,B.Tech,NLP Deep Learning PyTorch,Data Scientist with Python and ML experience,0
41,"Python, Machine Learning, Pandas",0,B.Tech,Python Machine Learning Pandas,Data Analyst with Excel and Power BI,0
42,"Python, Machine Learning, Pandas",5,B.Tech,Python Machine Learning Pandas,Data Analyst with Excel and Power BI,0
43,"NLP, Deep Learning, PyTorch",1,B.Tech,NLP Deep Learning PyTorch,Frontend Developer with React,0
44,"Data Analysis, Excel, Power BI",5,B.Tech,Data Analysis Excel Power BI,AI Engineer with NLP and Deep Learning,0
45,"Python, Machine Learning, Pandas",2,B.Tech,Python Machine Learning Pandas,Backend Developer using Java and Spring,0
46,"Data Analysis, Excel, Power BI",3,B.Tech,Data Analysis Excel Power BI,Frontend Developer with React,0
47,"Java, Spring Boot, SQL",5,B.Tech,Java Spring Boot SQL,Backend Developer using Java and Spring,1
48,"Java, Spring Boot, SQL",2,B.Tech,Java Spring Boot SQL,Frontend Developer with React,0
49,"NLP, Deep Learning, PyTorch",3,B.Tech,NLP Deep Learning PyTorch,Backend Developer using Java and Spring,0
50,"Java, Spring Boot, SQL",3,B.Tech,Java Spring Boot SQL,Backend Developer using Java and Spring,1
51,"React, JavaScript, HTML, CSS",0,B.Tech,React JavaScript HTML CSS,Data Scientist with Python and ML experience,0
52,"React, JavaScript, HTML, CSS",0,B.Tech,React JavaScript HTML CSS,AI Engineer with NLP and Deep Learning,0
53,"Java, Spring Boot, SQL",5,B.Tech,Java Spring Boot SQL,Data Scientist with Python and ML experience,0
54,"Python, Machine Learning, Pandas",5,B.Tech,Python Machine Learning Pandas,Frontend Developer with React,0
55,"Java, Spring Boot, SQL",2,B.Tech,Java Spring Boot SQL,AI Engineer with NLP and Deep Learning,0
56,"NLP, Deep Learning, PyTorch",2,B.Tech,NLP Deep Learning PyTorch,Frontend Developer with React,0
57,"Python, Machine Learning, Pandas",4,B.Tech,Python Machine Learning Pandas,Frontend Developer with React,0
58,"Data Analysis, Excel, Power BI",4,B.Tech,Data Analysis Excel Power BI,Backend Developer using Java and Spring,0
59,"Java, Spring Boot, SQL",3,B.Tech,Java Spring Boot SQL,Backend Developer using Java and Spring,1
60,"Java, Spring Boot, SQL",1,B.Tech,Java Spring Boot SQL,Backend Developer using Java and Spring,1
61,"React, JavaScript, HTML, CSS",0,B.Tech,React JavaScript HTML CSS,Data Analyst with Excel and Power BI,0
62,"React, JavaScript, HTML, CSS",1,B.Tech,React JavaScript HTML CSS,Frontend Developer with React,1
63,"Java, Spring Boot, SQL",2,B.Tech,Java Spring Boot SQL,Frontend Developer with React,0
64,"React, JavaScript, HTML, CSS",5,B.Tech,React JavaScript HTML CSS,Data Analyst with Excel and Power BI,0
65,"Java, Spring Boot, SQL",2,B.Tech,Java Spring Boot SQL,Data Analyst with Excel and Power BI,0
66,"Python, Machine Learning, Pandas",5,B.Tech,Python Machine Learning Pandas,Data Scientist with Python and ML experience,1
67,"React, JavaScript, HTML, CSS",0,B.Tech,React JavaScript HTML CSS,Backend Developer using Java and Spring,0
68,"NLP, Deep Learning, PyTorch",4,B.Tech,NLP Deep Learning PyTorch,AI Engineer with NLP and Deep Learning,1
69,"Java, Spring Boot, SQL",0,B.Tech,Java Spring Boot SQL,Backend Developer using Java and Spring,1
70,"NLP, Deep Learning, PyTorch",3,B.Tech,NLP Deep Learning PyTorch,Data Analyst with Excel and Power BI,0
71,"Python, Machine Learning, Pandas",2,B.Tech,Python Machine Learning Pandas,Data Scientist with Python and ML experience,1
72,"NLP, Deep Learning, PyTorch",5,B.Tech,NLP Deep Learning PyTorch,Frontend Developer with React,0
73,"Python, Machine Learning, Pandas",3,B.Tech,Python Machine Learning Pandas,Frontend Developer with React,0
74,"NLP, Deep Learning, PyTorch",5,B.Tech,NLP Deep Learning PyTorch,AI Engineer with NLP and Deep Learning,1
75,"Data Analysis, Excel, Power BI",2,B.Tech,Data Analysis Excel Power BI,Backend Developer using Java and Spring,0
76,"NLP, Deep Learning, PyTorch",1,B.Tech,NLP Deep Learning PyTorch,Data Scientist with Python and ML experience,0
77,"React, JavaScript, HTML, CSS",3,B.Tech,React JavaScript HTML CSS,Data Scientist with Python and ML experience,0
78,"Python, Machine Learning, Pandas",5,B.Tech,Python Machine Learning Pandas,Frontend Developer with React,0
79,"NLP, Deep Learning, PyTorch",5,B.Tech,NLP Deep Learning PyTorch,Frontend Developer with React,0
80,"Data Analysis, Excel, Power BI",4,B.Tech,Data Analysis Excel Power BI,Data Analyst with Excel and Power BI,1
81,"Python, Machine Learning, Pandas",3,B.Tech,Python Machine Learning Pandas,Backend Developer using Java and Spring,0
82,"Java, Spring Boot, SQL",5,B.Tech,Java Spring Boot SQL,Data Analyst with Excel and Power BI,0
83,"React, JavaScript, HTML, CSS",3,B.Tech,React JavaScript HTML CSS,Data Analyst with Excel and Power BI,0
84,"Java, Spring Boot, SQL",4,B.Tech,Java Spring Boot SQL,AI Engineer with NLP and Deep Learning,0
85,"Java, Spring Boot, SQL",2,B.Tech,Java Spring Boot SQL,AI Engineer with NLP and Deep Learning,0
86,"NLP, Deep Learning, PyTorch",1,B.Tech,NLP Deep Learning PyTorch,Data Analyst with Excel and Power BI,0
87,"Java, Spring Boot, SQL",2,B.Tech,Java Spring Boot SQL,Backend Developer using Java and Spring,1
88,"Python, Machine Learning, Pandas",3,B.Tech,Python Machine Learning Pandas,AI Engineer with NLP and Deep Learning,0
89,"Data Analysis, Excel, Power BI",4,B.Tech,Data Analysis Excel Power BI,Data Analyst with Excel and Power BI,1
90,"NLP, Deep Learning, PyTorch",0,B.Tech,NLP Deep Learning PyTorch,AI Engineer with NLP and Deep Learning,1
91,"React, JavaScript, HTML, CSS",1,B.Tech,React JavaScript HTML CSS,Data Scientist with Python and ML experience,0
92,"NLP, Deep Learning, PyTorch",1,B.Tech,NLP Deep Learning PyTorch,Data Analyst with Excel and Power BI,0
93,"NLP, Deep Learning, PyTorch",0,B.Tech,NLP Deep Learning PyTorch,AI Engineer with NLP and Deep Learning,1
94,"NLP, Deep Learning, PyTorch",2,B.Tech,NLP Deep Learning PyTorch,AI Engineer with NLP and Deep Learning,1
95,"React, JavaScript, HTML, CSS",3,B.Tech,React JavaScript HTML CSS,Frontend Developer with React,1
96,"Java, Spring Boot, SQL",0,B.Tech,Java Spring Boot SQL,AI Engineer with NLP and Deep Learning,0
97,"NLP, Deep Learning, PyTorch",4,B.Tech,NLP Deep Learning PyTorch,Backend Developer using Java and Spring,0
98,"Java, Spring Boot, SQL",4,B.Tech,Java Spring Boot SQL,Frontend Developer with React,0
99,"NLP, Deep Learning, PyTorch",0,B.Tech,NLP Deep Learning PyTorch,Backend Developer using Java and Spring,0
100,"Data Analysis, Excel, Power BI",2,B.Tech,Data Analysis Excel Power BI,Backend Developer using Java and Spring,0
101,"React, JavaScript, HTML, CSS",2,B.Tech,React JavaScript HTML CSS,Data Analyst with Excel and Power BI,0
102,"React, JavaScript, HTML, CSS",0,B.Tech,React JavaScript HTML CSS,Data Analyst with Excel and Power BI,0
103,"Java, Spring Boot, SQL",1,B.Tech,Java Spring Boot SQL,AI Engineer with NLP and Deep Learning,0
104,"Python, Machine Learning, Pandas",0,B.Tech,Python Machine Learning Pandas,Frontend Developer with React,0
105,"Data Analysis, Excel, Power BI",3,B.Tech,Data Analysis Excel Power BI,Data Analyst with Excel and Power BI,1
106,"Java, Spring Boot, SQL",4,B.Tech,Java Spring Boot SQL,Backend Developer using Java and Spring,1
107,"React, JavaScript, HTML, CSS",2,B.Tech,React JavaScript HTML CSS,Backend Developer using Java and Spring,0
108,"Python, Machine Learning, Pandas",0,B.Tech,Python Machine Learning Pandas,Data Scientist with Python and ML experience,1
109,"Python, Machine Learning, Pandas",0,B.Tech,Python Machine Learning Pandas,Data Scientist with Python and ML experience,1
110,"Data Analysis, Excel, Power BI",3,B.Tech,Data Analysis Excel Power BI,AI Engineer with NLP and Deep Learning,0
111,"Python, Machine Learning, Pandas",1,B.Tech,Python Machine Learning Pandas,Data Analyst with Excel and Power BI,0
112,"React, JavaScript, HTML, CSS",2,B.Tech,React JavaScript HTML CSS,Data Analyst with Excel and Power BI,0
113,"NLP, Deep Learning, PyTorch",1,B.Tech,NLP Deep Learning PyTorch,Data Analyst with Excel and Power BI,0
114,"Data Analysis, Excel, Power BI",4,B.Tech,Data Analysis Excel Power BI,AI Engineer with NLP and Deep Learning,0
115,"Data Analysis, Excel, Power BI",1,B.Tech,Data Analysis Excel Power BI,Frontend Developer with React,0
116,"NLP, Deep Learning, PyTorch",4,B.Tech,NLP Deep Learning PyTorch,Frontend Developer with React,0
117,"React, JavaScript, HTML, CSS",0,B.Tech,React JavaScript HTML CSS,Data Analyst with Excel and Power BI,0
118,"Python, Machine Learning, Pandas",0,B.Tech,Python Machine Learning Pandas,Data Analyst with Excel and Power BI,0
119,"NLP, Deep Learning, PyTorch",5,B.Tech,NLP Deep Learning PyTorch,Backend Developer using Java and Spring,0
120,"Data Analysis, Excel, Power BI",3,B.Tech,Data Analysis Excel Power BI,AI Engineer with NLP and Deep Learning,0
121,"Java, Spring Boot, SQL",4,B.Tech,Java Spring Boot SQL,Data Scientist with Python and ML experience,0
122,"Data Analysis, Excel, Power BI",3,B.Tech,Data Analysis Excel Power BI,Backend Developer using Java and Spring,0
123,"Java, Spring Boot, SQL",4,B.Tech,Java Spring Boot SQL,Backend Developer using Java and Spring,1
124,"React, JavaScript, HTML, CSS",0,B.Tech,React JavaScript HTML CSS,AI Engineer with NLP and Deep Learning,0
125,"React, JavaScript, HTML, CSS",1,B.Tech,React JavaScript HTML CSS,Data Scientist with Python and ML experience,0
126,"NLP, Deep Learning, PyTorch",5,B.Tech,NLP Deep Learning PyTorch,AI Engineer with NLP and Deep Learning,1
127,"NLP, Deep Learning, PyTorch",4,B.Tech,NLP Deep Learning PyTorch,Data Analyst with Excel and Power BI,0
128,"Data Analysis, Excel, Power BI",3,B.Tech,Data Analysis Excel Power BI,Data Scientist with Python and ML experience,0
129,"React, JavaScript, HTML, CSS",0,B.Tech,React JavaScript HTML CSS,Frontend Developer with React,1
130,"Python, Machine Learning, Pandas",1,B.Tech,Python Machine Learning Pandas,Data Scientist with Python and ML experience,1
131,"NLP, Deep Learning, PyTorch",4,B.Tech,NLP Deep Learning PyTorch,Data Scientist with Python and ML experience,0
132,"NLP, Deep Learning, PyTorch",1,B.Tech,NLP Deep Learning PyTorch,Frontend Developer with React,0
133,"Data Analysis, Excel, Power BI",3,B.Tech,Data Analysis Excel Power BI,Data Analyst with Excel and Power BI,1
134,"Data Analysis, Excel, Power BI",2,B.Tech,Data Analysis Excel Power BI,Data Analyst with Excel and Power BI,1
135,"React, JavaScript, HTML, CSS",5,B.Tech,React JavaScript HTML CSS,Data Analyst with Excel and Power BI,0
136,"Java, Spring Boot, SQL",1,B.Tech,Java Spring Boot SQL,Data Scientist with Python and ML experience,0
137,"React, JavaScript, HTML, CSS",4,B.Tech,React JavaScript HTML CSS,Data Scientist with Python and ML experience,0
138,"Java, Spring Boot, SQL",4,B.Tech,Java Spring Boot SQL,AI Engineer with NLP and Deep Learning,0
139,"Python, Machine Learning, Pandas",1,B.Tech,Python Machine Learning Pandas,Data Analyst with Excel and Power BI,0
140,"React, JavaScript, HTML, CSS",5,B.Tech,React JavaScript HTML CSS,Frontend Developer with React,1
141,"Python, Machine Learning, Pandas",2,B.Tech,Python Machine Learning Pandas,Backend Developer using Java and Spring,0
142,"React, JavaScript, HTML, CSS",1,B.Tech,React JavaScript HTML CSS,AI Engineer with NLP and Deep Learning,0
143,"Python, Machine Learning, Pandas",3,B.Tech,Python Machine Learning Pandas,Backend Developer using Java and Spring,0
144,"Python, Machine Learning, Pandas",2,B.Tech,Python Machine Learning Pandas,Data Analyst with Excel and Power BI,0
145,"React, JavaScript, HTML, CSS",3,B.Tech,React JavaScript HTML CSS,Data Analyst with Excel and Power BI,0
146,"React, JavaScript, HTML, CSS",3,B.Tech,React JavaScript HTML CSS,Data Analyst with Excel and Power BI,0
147,"React, JavaScript, HTML, CSS",0,B.Tech,React JavaScript HTML CSS,Data Scientist with Python and ML experience,0
148,"React, JavaScript, HTML, CSS",3,B.Tech,React JavaScript HTML CSS,Data Analyst with Excel and Power BI,0
149,"NLP, Deep Learning, PyTorch",3,B.Tech,NLP Deep Learning PyTorch,Data Analyst with Excel and Power BI,0
150,"Java, Spring Boot, SQL",0,B.Tech,Java Spring Boot SQL,Data Scientist with Python and ML experience,0
151,"Data Analysis, Excel, Power BI",4,B.Tech,Data Analysis Excel Power BI,Data Analyst with Excel and Power BI,1
152,"Python, Machine Learning, Pandas",5,B.Tech,Python Machine Learning Pandas,Data Analyst with Excel and Power BI,0
153,"NLP, Deep Learning, PyTorch",1,B.Tech,NLP Deep Learning PyTorch,Data Analyst with Excel and Power BI,0
154,"NLP, Deep Learning, PyTorch",5,B.Tech,NLP Deep Learning PyTorch,AI Engineer with NLP and Deep Learning,1
155,"NLP, Deep Learning, PyTorch",5,B.Tech,NLP Deep Learning PyTorch,Data Analyst with Excel and Power BI,0
156,"NLP, Deep Learning, PyTorch",3,B.Tech,NLP Deep Learning PyTorch,Backend Developer using Java and Spring,0
157,"Python, Machine Learning, Pandas",0,B.Tech,Python Machine Learning Pandas,AI Engineer with NLP and Deep Learning,0
158,"Data Analysis, Excel, Power BI",1,B.Tech,Data Analysis Excel Power BI,Data Scientist with Python and ML experience,0
159,"Data Analysis, Excel, Power BI",0,B.Tech,Data Analysis Excel Power BI,Backend Developer using Java and Spring,0
160,"Python, Machine Learning, Pandas",5,B.Tech,Python Machine Learning Pandas,Frontend Developer with React,0
161,"React, JavaScript, HTML, CSS",2,B.Tech,React JavaScript HTML CSS,AI Engineer with NLP and Deep Learning,0
162,"Java, Spring Boot, SQL",2,B.Tech,Java Spring Boot SQL,Data Scientist with Python and ML experience,0
163,"Data Analysis, Excel, Power BI",0,B.Tech,Data Analysis Excel Power BI,Data Scientist with Python and ML experience,0
164,"Python, Machine Learning, Pandas",5,B.Tech,Python Machine Learning Pandas,Backend Developer using Java and Spring,0
165,"Java, Spring Boot, SQL",4,B.Tech,Java Spring Boot SQL,Data Scientist with Python and ML experience,0
166,"Java, Spring Boot, SQL",2,B.Tech,Java Spring Boot SQL,Data Analyst with Excel and Power BI,0
